nodeID_from,nodeID_to
1173,1027
1082,1028
0,19
1,0
2,96
1066,689
1077,1029
3,1030
1041,15
4,126
5,94
6,74
7,86
1084,89
1031,698
1037,1031
902,1032
469,1033
1033,1034
8,1035
9,133
10,1036
1036,1037
11,1038
118,111
12,1039
13,97
14,13
15,1040
16,14
1090,1056
1110,1041
1496,1042
17,23
18,720
19,1043
1044,20
1043,1044
20,1045
21,1046
1049,1047
1050,1048
1046,1049
1047,1050
1029,936
1990,1029
22,1051
1051,1052
23,22
1052,16
24,25
25,846
1783,12
26,122
1039,1053
1053,1054
27,1055
1703,1056
28,11
29,66
30,1057
31,81
32,199
33,90
1074,34
34,103
35,131
36,114
37,127
38,79
39,120
40,60
41,42
42,3
43,4
44,1058
45,49
46,115
47,75
48,1059
49,43
1099,1060
50,102
1062,1061
51,91
52,51
1028,1062
53,404
54,63
1112,54
55,1063
56,55
1117,56
57,59
58,1064
1068,58
59,1065
60,57
61,40
1067,61
1070,1066
1063,1067
1065,1068
1064,1069
62,1070
63,915
64,123
65,29
66,541
67,1071
1071,1072
68,1072
69,1073
1027,1073
70,71
71,39
1093,1074
1109,1075
1080,1076
1075,1077
1087,1078
72,1079
73,87
1083,73
74,31
75,44
76,69
77,38
78,1035
31,50
1085,98
1061,1080
79,76
80,70
81,80
82,100
83,82
84,83
85,1081
86,16
87,6
88,85
89,30
90,45
91,28
92,1082
93,92
1079,1083
1089,1084
1081,138
1088,1085
1092,1086
1094,1087
94,1088
95,33
96,52
97,1089
98,1090
99,1091
100,99
1086,101
1095,1092
6,1093
101,1094
102,84
103,1095
104,1096
1100,104
105,1097
106,1098
107,121
108,107
109,108
110,109
111,110
112,1107
113,106
114,112
115,48
116,46
117,116
1104,1099
1098,1100
1096,1101
1105,1102
1106,1103
1124,1104
25,117
1101,1105
1102,1106
118,1107
119,1
120,32
1103,41
121,113
122,36
1060,105
123,1108
124,1109
125,418
126,129
127,128
128,130
129,37
130,132
131,5
132,35
97,1110
133,8
134,27
135,65
10,119
1048,1111
136,1112
137,136
138,1465
12,1113
1154,1307
1189,1114
139,1115
140,141
141,142
142,149
143,67
1221,223
490,1159
1195,1116
1149,1117
144,320
145,1118
160,1119
1178,1120
1991,138
145,205
146,1121
1196,1122
368,1333
1184,203
149,507
147,185
148,207
431,1324
149,515
435,1123
150,1119
695,1124
197,756
1212,1125
432,1126
1488,203
151,1127
151,1128
498,1129
1129,441
140,1126
1132,506
152,141
152,1126
153,155
154,153
155,443
156,159
153,442
423,1042
154,155
157,177
158,178
159,153
156,154
147,157
160,150
512,501
161,435
162,1130
163,148
182,306
1130,516
164,1124
165,1131
515,1132
506,457
142,1133
9,1076
1135,1134
1335,1135
370,1136
1334,1137
1139,1138
166,1139
167,1145
350,167
369,1140
1295,1141
1116,1142
169,1148
1299,1143
1142,1144
1300,1145
168,1146
169,1147
1258,1148
1260,1137
1134,1149
359,1296
170,174
171,1150
172,1151
173,487
187,1152
174,173
175,176
176,174
1324,1151
177,170
178,179
179,157
180,314
175,173
175,1152
181,170
1307,1153
182,431
183,1154
184,305
185,173
186,353
187,1155
308,1019
1159,1156
181,177
188,163
189,160
1162,67
1158,1157
190,1158
192,190
191,1159
1238,1160
192,1161
1318,1162
1199,1163
190,1164
1163,914
1293,489
489,1165
1345,1166
1175,193
193,1167
194,697
195,284
1233,1168
196,197
1181,1169
197,699
156,432
198,1542
1179,1170
1180,1220
1210,1171
337,1232
1938,1172
1320,1173
518,1174
1314,1175
1167,1176
1315,1177
1244,337
199,1178
200,1179
196,1180
1171,1436
201,1181
197,310
202,1133
202,427
202,149
1317,1182
1115,1514
122,428
1187,1183
1188,1184
1198,1185
1127,1186
1310,695
203,1187
1114,1188
1186,1189
1247,151
204,782
1191,1190
1192,1191
255,1192
1522,1492
1190,1121
1487,206
206,1193
207,414
208,180
209,210
210,1173
211,510
212,378
1122,213
213,1194
457,214
214,152
