nodeID_from,nodeID_to
0,677
21,676
1,1090
698,677
2,26
358,678
3,18
699,12
4,679
681,680
683,684
679,681
685,432
5,682
688,683
1037,684
689,685
6,686
1792,687
682,688
680,689
7,15
713,690
8,27
604,691
9,22
26,44
10,692
11,34
12,693
13,219
14,13
15,77
705,9
16,28
17,694
18,695
19,696
20,697
709,698
21,699
22,700
10,701
13,702
693,703
697,704
23,1
692,705
871,706
50,707
701,708
703,6
24,694
31,709
25,38
696,710
25,711
714,712
41,713
27,29
1269,30
715,714
32,715
28,30
29,23
51,25
617,24
710,716
30,717
30,1388
31,718
32,719
721,0
33,720
719,721
6,2112
34,16
1043,722
1057,723
1167,724
1177,268
35,77
942,725
1134,726
807,727
724,728
722,349
1067,514
1247,729
825,730
1210,731
1276,732
326,733
940,734
235,735
803,736
763,737
1025,738
1273,739
789,673
922,740
1125,1432
1520,789
1044,741
744,464
1050,742
730,743
753,1177
946,744
268,745
36,746
254,747
749,61
1317,748
153,749
1106,750
42,751
1325,752
826,753
1319,54
1260,754
734,62
37,64
38,755
1148,756
97,355
147,271
752,757
863,758
39,491
75,996
40,759
41,990
988,760
543,1283
1082,199
42,761
1195,762
43,763
84,862
44,84
924,764
805,765
829,766
45,767
783,768
46,317
1052,769
1207,770
726,771
65,418
1175,772
1202,773
1257,774
1014,775
47,776
792,137
1076,777
1265,778
1033,779
1178,929
48,77
830,583
766,780
49,87
486,781
1018,782
190,722
778,783
1042,784
50,169
1388,411
1090,166
51,785
964,786
421,787
774,788
472,789
770,229
1305,169
1199,513
1046,268
52,790
851,791
1293,918
1313,792
1303,793
1166,147
53,311
601,928
54,97
837,794
732,795
587,838
55,796
56,797
57,672
58,473
957,798
799,448
993,441
800,799
983,800
815,265
785,801
743,802
1295,768
60,803
59,224
60,1097
1218,303
813,804
1195,805
1149,806
1063,218
809,773
61,807
1278,808
745,45
767,76
930,809
157,810
62,43
1088,59
63,76
69,63
76,69
64,434
65,1915
873,811
66,812
806,813
729,67
67,443
1390,814
1323,815
2048,816
513,56
1306,817
887,818
810,819
740,820
462,1099
68,69
69,42
758,821
755,822
70,557
64,110
71,823
765,824
836,99
1116,825
1177,826
1662,827
72,828
1166,271
202,178
790,829
73,613
917,830
776,20
1172,831
1164,832
1005,317
746,833
1483,834
74,835
977,836
731,837
75,41
1141,838
820,839
756,840
624,106
750,841
1163,842
1086,35
1745,1309
992,843
841,844
781,845
1299,846
178,55
76,42
77,847
948,848
1413,849
1189,850
1161,851
920,852
908,853
858,854
78,855
79,856
865,857
80,244
822,858
81,482
86,83
1061,859
82,136
827,483
1075,860
1126,861
797,863
898,864
85,865
86,866
1130,168
966,351
87,867
88,167
89,397
90,868
91,869
92,870
93,1078
789,871
94,1610
1232,292
95,364
96,221
97,872
98,159
99,276
1081,100
100,527
101,102
102,179
103,873
791,300
104,105
105,182
106,215
107,392
108,874
109,356
110,306
1074,111
111,875
112,577
113,98
114,115
115,37
116,91
425,350
1308,117
117,92
1216,390
971,876
706,134
118,877
119,204
120,142
121,286
122,338
123,372
862,328
854,857
124,82
891,878
139,879
125,120
126,880
1156,611
127,128
128,881
129,130
290,882
768,254
1151,883
1117,884
1180,885
879,886
130,133
1828,887
1111,888
131,319
1031,241
132,624
1200,889
133,890
900,891
134,892
963,893
859,894
893,895
902,896
135,141
896,897
1539,118
136,898
137,899
899,900
138,203
897,86
905,901
895,83
907,902
860,903
139,904
878,81
140,129
1013,522
894,481
906,905
141,140
904,906
901,907
142,94
143,908
79,909
1287,910
1002,349
144,277
953,911
931,912
145,793
1030,363
146,652
147,913
148,914
991,915
211,205
1144,916
927,917
149,918
150,919
1017,920
151,55
152,104
1701,921
1045,212
915,922
801,923
153,315
869,924
154,240
981,1031
19,158
155,200
1168,925
1181,735
961,250
1107,926
156,365
1022,927
157,928
1089,929
53,395
1182,930
158,326
925,931
159,932
160,933
161,293
1109,187
1108,934
932,935
1203,936
46,172
1214,937
237,938
782,939
958,940
733,941
834,942
1288,943
613,944
1221,945
1036,1884
912,946
1281,162
162,947
870,948
1220,949
163,950
772,951
1191,952
249,953
1159,954
1261,955
1311,956
876,867
169,957
1114,958
164,959
165,960
1224,961
847,962
166,103
167,291
916,963
168,303
1197,964
196,965
1142,296
1145,966
169,171
170,50
171,967
172,345
173,266
1169,361
1228,968
1060,969
1139,604
174,584
1230,970
175,971
742,972
176,973
1080,1233
1321,974
798,975
177,189
178,976
1092,325
527,977
179,978
180,979
1272,980
833,302
588,981
181,155
1127,982
993,983
747,984
182,985
183,48
184,986
1023,987
1039,988
779,989
1079,990
164,991
1196,992
539,993
185,412
186,340
802,994
187,995
333,996
936,997
188,998
189,188
950,999
190,1000
191,208
192,191
965,1001
884,1012
1000,1002
1132,1003
1058,1004
1318,1005
1162,254
996,436
304,1006
1282,1007
824,1008
760,1009
1174,1010
193,1011
194,334
1266,307
195,407
196,1012
1083,1013
1194,1014
1071,1015
197,1016
198,236
984,1017
1286,1018
199,234
200,1019
201,1020
202,1021
1231,1022
762,1023
203,287
1264,1024
39,95
1307,1025
914,1026
1193,872
204,316
1256,1027
303,248
1119,1028
1006,1029
205,337
206,379
1328,1030
207,251
208,207
838,1031
1289,1032
209,1033
845,1034
210,1035
1123,223
1240,395
793,181
819,1036
1029,1037
211,151
1026,1038
1032,1039
212,1040
808,1041
998,1042
846,1043
213,1146
1008,1044
979,1045
852,1046
230,1047
941,1048
1072,1049
1246,1050
748,1051
214,275
215,1052
1004,1053
216,308
377,1054
1066,1055
794,1056
1096,352
843,1057
1222,1058
1165,1059
1110,1060
886,1061
1011,1062
1212,1063
311,231
217,193
1300,1064
218,194
1158,1065
1095,1066
1268,1067
1016,1068
888,1069
1171,1070
1034,112
1201,1071
978,1072
219,325
723,1073
1238,534
938,1229
738,1074
220,176
221,1075
222,186
223,220
1889,1076
764,1077
937,1078
224,1079
1179,1080
1187,1081
1263,1082
1091,1083
1020,1084
1047,541
995,1085
1271,1086
1326,1087
355,147
926,1088
175,472
1115,51
784,1089
640,1090
875,1091
225,532
1478,174
1041,1092
761,1093
226,231
1244,1094
227,313
1225,1095
228,1096
1253,1097
970,1098
969,1099
1234,1100
1248,1101
1252,1102
1188,1103
1015,1104
1292,1105
949,1106
1160,1107
913,1108
1001,1109
197,1110
728,1111
1217,1112
1226,1113
229,1114
1027,1115
230,397
839,1116
835,1117
231,131
279,519
1297,1118
1118,625
232,1119
855,1120
1251,1121
1255,1122
874,1123
1140,1124
903,1125
233,121
1312,1126
234,1127
989,1128
1250,1129
786,1130
235,97
1204,1131
1185,1132
1239,1133
911,1134
1236,1135
1277,1136
236,46
1068,656
1315,651
1275,1137
106,1138
237,1139
934,1140
238,1141
1243,1142
1138,1143
1124,657
1040,1144
239,1145
240,165
241,50
960,1146
1153,1147
804,1148
853,1149
1329,1150
242,1151
243,1152
243,1153
136,477
1147,245
244,247
245,1154
246,146
247,1155
1600,1156
248,1157
1211,1158
249,1159
250,156
832,1160
251,347
1301,1161
252,973
253,252
255,1163
777,1164
1009,1165
735,1166
256,214
1065,108
257,1167
1038,113
258,1168
1259,1169
1285,1170
259,1171
183,123
260,1172
261,14
262,259
263,80
281,1173
788,1174
1113,1175
264,310
1302,1176
265,267
266,49
267,381
61,152
269,89
270,269
1085,314
271,1178
1133,1179
272,273
273,132
1183,1180
1129,455
274,386
975,1181
1131,1182
557,1183
1294,775
275,280
276,1184
1035,1185
1205,209
277,1186
293,160
1209,798
278,163
279,1187
280,278
281,1188
282,1298
1103,1189
1237,1190
1102,1191
725,1192
1184,1193
741,1194
232,1195
678,329
283,366
955,1196
284,242
1069,1197
285,2080
1219,1198
286,261
1135,1199
997,380
287,96
944,1200
1021,1201
349,211
1093,1202
288,198
289,264
1007,288
290,1203
910,65
291,195
1104,1204
882,1205
292,307
