nodeID_from,nodeID_to
54,362
43,361
333,302
359,303
305,304
0,350
1,15
2,305
425,306
3,21
4,59
5,307
195,18
6,68
7,56
8,308
615,11
9,29
10,309
665,10
11,234
2,310
12,311
719,12
13,312
533,13
14,15
15,313
16,65
17,314
18,22
19,41
318,40
20,315
21,316
302,317
353,318
14,319
22,53
23,320
364,321
304,36
392,322
468,27
356,323
317,11
24,324
25,325
26,4
27,326
357,327
28,38
29,3
358,328
30,329
355,330
31,64
32,331
327,332
352,333
33,6
34,4
35,20
28,334
339,46
36,335
360,336
37,337
38,60
335,338
39,51
324,339
365,340
40,57
549,341
41,32
330,342
42,343
43,344
44,48
45,47
354,345
551,346
37,347
19,30
24,331
336,348
46,42
340,50
47,12
48,349
363,350
307,351
49,352
321,353
342,25
338,52
50,35
51,27
306,354
52,7
16,17
320,355
53,356
54,357
55,30
328,62
351,66
56,358
345,359
57,334
323,23
58,70
551,360
59,1
315,361
547,67
60,69
61,67
348,362
62,44
332,363
63,33
64,364
65,319
66,365
67,366
68,29
69,37
344,39
70,49
417,367
311,368
71,369
386,370
402,371
472,115
396,372
72,373
395,374
484,375
73,113
483,121
508,376
74,377
75,378
311,379
76,380
77,381
558,382
384,383
72,384
474,153
412,385
370,126
78,386
79,387
80,388
383,389
389,390
509,391
517,392
413,393
391,394
448,395
329,396
521,73
485,397
376,398
425,399
422,400
424,401
627,402
152,476
398,403
576,404
525,405
416,406
411,82
400,407
81,408
455,409
516,133
82,410
410,411
526,9
83,412
382,413
520,180
467,414
84,252
85,590
86,415
87,416
88,417
401,121
579,566
89,418
546,74
490,626
90,419
91,420
371,421
572,422
92,423
93,165
94,381
95,163
96,223
97,147
380,148
98,107
99,158
381,100
100,78
322,96
9,101
101,420
312,102
102,97
499,103
103,424
104,79
105,109
367,111
106,122
107,204
108,136
109,110
110,182
111,112
112,108
473,425
113,138
487,434
415,155
373,426
114,99
115,427
116,428
486,429
501,430
117,186
118,123
116,189
119,160
347,431
120,159
121,432
122,118
123,433
124,434
125,435
435,442
126,436
127,437
431,438
176,194
128,439
570,440
129,441
89,442
130,441
131,443
132,93
584,444
133,445
500,446
134,192
135,169
136,219
124,150
511,284
137,218
528,198
529,447
138,448
452,449
176,450
139,451
470,452
514,453
518,454
140,455
488,98
141,268
142,456
563,457
143,83
144,173
507,94
145,172
418,458
450,459
538,460
146,113
439,461
447,462
147,119
148,463
149,141
170,464
150,125
151,465
152,466
482,467
531,468
503,469
372,470
419,471
397,472
390,473
153,390
153,473
154,474
427,475
155,476
156,476
157,477
426,81
432,478
406,479
158,106
161,480
408,480
433,481
159,481
420,410
375,482
414,483
394,72
337,534
160,188
475,484
429,485
161,486
162,436
498,487
163,465
755,2
26,151
164,438
165,82
166,132
167,135
564,488
443,489
405,346
537,490
168,491
479,492
399,493
143,187
565,494
562,495
169,496
477,497
326,498
168,212
170,499
171,95
403,500
585,501
575,502
492,503
172,135
173,216
546,185
454,504
174,505
495,506
541,507
377,508
446,509
494,174
95,510
175,292
522,511
550,512
580,513
341,514
176,515
177,206
374,516
444,104
559,517
445,518
463,532
178,519
555,520
179,195
180,224
496,521
548,227
489,522
181,523
557,524
409,525
387,526
182,190
583,527
183,142
553,528
437,202
456,529
556,530
184,531
185,203
186,137
128,532
187,181
478,533
504,534
188,428
189,117
430,535
190,536
571,537
449,213
139,554
440,538
191,519
459,539
192,540
513,130
530,196
193,541
191,542
385,543
407,544
194,34
195,545
543,546
523,547
540,548
196,549
460,550
197,201
574,552
164,553
198,200
539,554
85,346
581,215
199,193
200,555
462,556
497,557
201,226
506,252
202,229
203,114
141,558
204,559
205,210
206,211
230,560
582,561
404,562
544,55
207,220
458,563
552,564
208,225
209,565
393,205
210,171
211,214
212,217
213,510
502,566
214,146
215,149
524,567
216,207
569,568
187,569
471,570
491,571
144,578
561,209
217,208
218,228
527,178
567,572
542,573
876,574
457,575
493,86
219,134
577,576
220,199
221,90
453,577
505,578
512,579
461,183
573,580
515,184
451,581
222,582
223,583
469,584
224,585
568,464
225,177
226,222
227,105
228,61
229,197
890,88
599,586
230,587
590,588
668,589
752,590
620,591
797,592
611,863
715,593
669,594
893,595
617,596
807,597
764,598
784,599
912,600
869,601
809,602
775,603
817,604
670,240
702,245
231,605
671,606
774,255
697,607
232,608
658,609
233,610
823,611
234,612
285,613
673,614
423,615
652,616
829,248
634,617
851,249
596,618
692,619
592,620
693,621
235,622
856,623
276,388
155,236
236,624
237,625
642,626
238,253
239,627
646,628
625,906
711,629
659,630
172,167
657,631
240,278
651,632
626,633
903,634
633,635
241,636
632,87
242,273
243,637
743,638
167,145
631,639
85,588
644,640
608,255
277,641
732,290
882,274
244,642
776,643
677,644
656,788
245,645
588,646
648,647
738,286
782,648
650,649
157,675
246,650
247,651
466,652
682,653
248,654
663,235
298,655
249,656
629,657
700,658
918,659
749,243
685,660
870,661
250,662
643,663
545,664
616,665
251,666
172,246
267,667
253,668
865,669
678,670
252,671
723,247
254,672
904,673
735,674
740,675
916,259
913,676
600,677
683,678
672,679
594,680
601,681
754,682
645,683
255,684
676,287
586,685
256,686
235,687
618,688
844,689
309,690
266,895
717,691
733,692
886,693
82,694
257,244
666,695
258,283
636,696
769,697
607,241
259,698
891,273
260,256
87,699
603,700
778,701
609,702
783,263
660,703
647,704
709,705
261,706
613,707
262,708
868,709
704,613
662,710
263,711
261,849
264,712
790,713
282,736
848,911
919,714
861,715
265,257
299,716
897,717
266,718
892,719
873,720
628,721
862,722
597,723
140,85
267,831
268,441
598,724
843,289
728,725
767,726
932,727
803,728
269,758
830,729
810,730
756,731
907,732
614,733
771,734
818,735
270,265
839,736
833,294
814,737
894,738
604,739
816,740
731,741
725,742
910,743
621,230
854,744
888,745
872,746
593,747
623,291
762,242
921,748
750,749
688,750
707,751
235,752
712,753
713,754
785,755
857,756
653,757
751,758
905,759
271,760
272,761
761,762
696,763
279,764
770,765
772,766
734,767
765,768
698,769
763,770
273,771
766,84
274,772
275,773
624,684
605,466
276,155
687,774
157,239
140,684
277,780
641,271
777,775
779,776
694,777
760,778
278,779
789,780
703,781
708,782
781,783
279,705
710,784
746,785
310,786
280,787
280,788
787,789
786,790
281,791
721,792
145,166
889,793
805,794
730,795
828,796
855,797
883,798
802,162
902,799
899,800
753,801
795,131
664,802
699,803
866,804
920,805
282,806
283,292
701,807
926,808
88,809
821,810
737,811
826,812
794,813
928,296
876,293
801,814
681,815
630,816
791,817
221,233
635,818
879,819
909,820
284,821
824,822
747,823
718,824
853,825
726,826
922,827
898,828
610,829
591,830
836,831
768,242
649,237
285,832
884,833
619,834
874,835
686,836
845,837
840,838
896,839
859,840
834,841
612,842
689,843
587,844
691,845
654,846
887,847
819,848
595,849
930,850
925,851
272,852
286,262
680,853
811,854
924,931
741,855
287,856
742,857
885,858
729,265
878,859
880,860
867,861
637,862
129,863
288,864
667,865
589,748
289,866
269,867
923,868
679,869
827,301
842,870
602,871
858,872
820,873
850,874
841,175
815,875
900,876
640,877
877,288
290,878
722,879
901,880
832,295
871,881
825,882
838,883
291,284
798,884
847,885
773,886
796,887
860,258
720,888
661,889
837,890
852,891
915,270
739,892
799,254
914,893
812,894
929,895
706,896
727,897
744,898
813,899
638,281
716,900
639,901
606,902
166,903
793,904
757,905
297,906
292,907
272,250
846,908
806,909
917,910
792,911
804,912
724,913
293,179
800,914
808,915
875,916
835,238
560,917
714,918
294,300
881,919
295,920
864,921
296,922
908,923
745,924
759,925
297,926
298,927
933,928
162,929
131,930
299,931
300,932
822,933
301,221
