nodeID_from,nodeID_to
0,2384
1,0
2,155
3,4
4,2385
5,413
6,2386
7,262
8,2387
133,2418
9,29
10,89
11,2388
1657,29
12,2389
13,12
14,62
3298,62
15,1968
15,2089
16,2390
17,5
18,2391
18,6
19,2392
20,1511
21,42
22,152
22,2393
21,2394
2321,2395
23,2396
3833,150
24,150
25,2387
26,2397
27,2386
28,151
29,3593
30,2398
31,2399
32,31
33,19
34,35
35,1957
36,2386
37,2400
38,2400
39,403
40,39
41,1852
41,1990
42,2401
43,1067
44,2402
45,2403
46,2404
47,2402
48,2415
49,99
50,58
51,352
52,2405
53,2406
54,2406
55,2398
56,2407
57,146
58,2408
59,153
60,2409
60,877
61,179
62,2410
63,57
64,2387
65,68
65,2411
66,2412
67,1060
66,67
68,12
69,2413
2437,2413
70,2414
70,2415
71,141
72,2416
73,2417
2419,2418
2417,2419
72,2420
73,2420
74,75
75,2421
76,2421
77,74
78,74
79,15
19,2422
80,140
81,2396
82,138
83,2423
84,2404
85,148
86,2424
86,154
87,2384
88,144
89,7
2455,10
90,2425
91,2425
92,657
93,2405
53,93
94,47
92,578
95,2426
96,341
97,2384
98,2403
3735,48
99,1257
100,2427
101,331
102,2428
1632,2429
103,135
98,104
1993,2430
104,2431
105,31
106,41
134,9
132,2432
107,2440
108,2433
2446,2434
109,45
110,2435
111,110
112,98
107,116
2445,120
113,2436
114,2437
115,2438
116,2434
2447,2439
117,2440
2428,117
2427,39
118,111
2435,2441
119,2442
120,99
2441,2443
121,2442
122,2444
122,2445
123,124
124,2426
125,2446
100,2447
126,123
92,2448
119,2449
2443,2450
115,108
127,2425
128,715
118,2433
129,2459
3034,147
130,147
131,2451
106,131
2452,2456
2432,2452
132,2453
2453,2454
2454,2455
133,2456
3252,2636
134,2457
135,129
136,2458
2449,2459
137,2460
48,1856
138,2461
139,95
80,1430
140,156
141,4
142,2462
84,2463
143,85
144,2460
88,2461
145,2404
2467,2393
146,91
147,549
148,2389
30,2391
149,148
52,50
56,2464
150,2465
151,860
152,2466
2394,2467
153,60
154,2460
53,94
155,2388
156,2468
157,2468
158,76
2470,3241
157,83
2658,2470
2970,1052
937,2471
160,1834
161,204
162,2472
163,8
2102,2135
164,2473
165,184
166,2195
167,2474
168,512
169,2071
1077,337
3667,2062
170,1012
171,2475
172,2476
173,2477
174,482
175,2478
176,194
177,248
222,1551
2300,2479
178,2480
179,2025
180,190
180,2481
181,1664
182,2482
183,2483
184,2484
185,281
186,359
187,1532
188,2485
189,1474
190,2968
191,2486
192,2326
965,2487
193,2488
194,2288
176,1072
2916,307
195,1554
184,1353
196,2895
197,2480
1338,2493
3207,2901
2490,2489
3315,2490
2492,2491
2670,2492
1081,2493
505,2494
1343,2923
3196,3240
2632,2495
2497,2496
2471,2497
198,2498
928,2498
199,2499
198,199
200,1106
201,3336
202,195
203,811
179,1517
77,1509
204,205
205,1565
206,798
207,1374
208,538
209,2156
210,2259
3,1315
16,211
211,1315
212,637
213,212
213,2500
214,1402
953,1076
215,1076
1016,2501
216,3204
216,3117
78,1214
217,2502
218,1280
3144,772
219,221
220,221
221,177
222,1550
223,1019
224,2503
225,1449
226,248
227,1574
228,2504
229,2505
230,229
231,967
232,231
233,231
195,189
234,1724
235,1435
236,2506
237,2488
237,193
238,1129
239,2507
240,1439
241,1540
240,2262
242,241
243,2508
244,2509
245,193
2510,1570
2509,2510
246,237
247,2511
3113,3161
1303,2512
234,2392
1551,2513
249,1381
250,226
251,967
976,2514
2832,518
252,2476
3003,2515
253,152
254,574
255,2516
2927,2517
256,3180
3084,2806
2934,2518
1408,2519
257,2520
258,2521
259,2522
