nodeID_from,nodeID_to
0,331
1,93
1,332
2,1
3,333
4,40
5,70
6,334
7,299
8,335
9,336
10,263
11,92
12,112
13,131
14,337
15,38
16,18
17,13
18,118
19,141
20,41
21,23
22,68
23,25
24,30
20,12
25,35
26,200
27,29
28,160
29,23
30,110
31,15
32,33
33,111
34,41
35,112
36,200
37,338
38,32
39,199
40,120
41,35
42,14
24,27
20,90
43,24
43,27
44,339
13,128
45,128
46,62
42,340
47,341
48,342
49,343
50,191
51,50
52,344
53,345
54,154
55,62
56,161
57,45
58,44
59,45
59,17
60,59
60,17
26,57
26,59
61,344
62,236
63,64
64,62
65,61
66,61
66,65
67,68
68,258
69,346
70,0
70,37
71,89
72,85
73,182
74,10
75,325
76,88
77,347
78,79
79,5
80,348
81,83
82,77
83,80
84,96
85,81
86,82
87,2
88,86
89,349
90,84
91,43
4,126
92,71
93,94
94,337
95,175
96,113
97,76
98,129
99,125
100,116
101,72
31,350
97,103
102,11
103,337
104,34
105,149
34,124
106,351
107,100
108,119
109,166
110,107
111,118
112,31
113,114
114,16
115,121
116,117
117,102
118,97
119,21
120,101
121,342
122,98
123,109
124,352
125,104
4,106
126,136
47,127
127,342
128,131
129,353
42,47
130,53
131,168
132,16
133,259
134,91
135,99
136,140
137,132
138,134
137,139
139,115
140,105
141,53
142,143
143,122
144,145
145,138
137,147
146,135
147,157
148,130
149,142
150,54
151,135
152,154
121,153
153,148
144,354
154,162
54,155
155,355
156,157
19,167
157,169
158,149
159,170
160,144
36,208
161,158
162,183
161,95
163,19
164,165
165,159
166,156
167,178
168,28
164,146
169,173
170,172
164,179
171,176
172,123
173,184
174,194
175,187
176,177
177,163
178,201
179,195
180,174
181,49
182,171
183,197
56,158
169,203
184,185
185,73
186,39
168,58
58,339
187,57
188,189
44,49
189,339
190,356
191,60
192,193
193,188
194,192
195,196
196,186
197,198
198,201
199,180
200,357
201,205
202,215
203,209
36,206
50,204
204,181
205,210
51,191
206,207
207,56
208,213
209,216
210,211
211,212
212,221
213,214
214,219
215,51
216,217
217,225
218,222
219,358
133,55
220,229
221,226
222,359
219,223
223,220
224,233
225,360
226,227
225,230
227,228
228,361
229,3
230,232
231,218
232,234
46,55
233,361
52,224
229,362
234,248
235,237
22,66
236,246
237,361
52,363
238,242
239,231
69,240
240,344
67,364
241,263
242,243
243,239
244,253
245,65
22,67
246,365
247,238
248,63
63,62
249,247
250,46
251,366
252,269
253,249
64,133
236,257
254,249
255,254
256,251
257,264
258,272
259,265
260,190
190,235
261,260
262,283
235,270
263,244
264,274
265,266
266,252
267,250
268,69
269,256
270,268
271,261
272,280
263,279
273,268
274,275
275,271
276,310
277,255
278,267
279,282
252,281
280,300
281,262
282,288
283,367
284,273
285,296
286,287
287,277
288,367
289,290
290,368
291,292
292,252
293,367
294,295
295,284
296,286
297,7
298,297
299,278
286,304
300,301
294,307
301,289
302,314
303,298
304,305
305,313
306,291
307,302
308,291
309,6
310,303
311,312
312,293
313,316
314,319
315,294
316,317
317,318
318,324
319,322
320,369
321,315
322,323
323,325
324,326
313,370
325,8
326,328
327,321
328,329
329,320
330,327
