nodeID_from,nodeID_to
0,6
1,25
2,32
3,54
213,46
4,28
5,209
6,16
7,208
8,1
9,43
10,9
43,209
11,112
12,11
13,2
14,19
15,17
16,15
17,13
18,14
19,0
20,210
21,22
22,211
23,4
24,52
25,27
26,30
27,31
21,29
28,7
29,26
30,23
31,208
210,212
212,10
32,36
33,39
34,35
35,33
36,37
37,3
38,18
39,38
10,34
214,213
40,41
41,42
42,8
43,214
44,45
45,47
46,44
47,40
48,53
49,215
50,48
51,55
52,51
53,49
54,215
50,24
55,56
56,216
57,217
58,57
59,171
60,69
61,20
62,218
63,218
64,120
65,207
66,72
67,198
68,139
69,20
70,164
71,130
72,219
221,220
73,178
74,144
75,221
220,117
76,88
77,184
78,122
79,131
80,81
81,203
82,83
83,103
84,85
85,74
86,87
87,128
88,89
89,58
90,88
91,129
92,135
93,100
94,126
95,79
96,125
97,182
98,222
99,93
100,127
101,177
102,63
103,191
104,180
105,145
106,192
107,165
108,154
109,116
110,158
111,95
112,149
64,161
113,195
114,137
115,62
116,106
117,73
118,205
119,12
120,136
121,223
122,134
123,91
124,163
125,123
126,194
91,66
127,68
128,222
129,183
130,101
131,86
132,166
133,111
134,142
135,159
136,110
137,115
138,206
139,92
140,176
141,162
142,80
143,147
144,167
145,90
146,202
147,77
148,193
59,104
149,187
150,197
151,61
152,76
153,108
154,179
155,150
156,199
157,121
158,153
159,105
60,61
160,223
98,140
161,152
162,132
163,181
164,124
165,190
166,109
167,188
168,146
169,102
117,67
170,71
171,168
172,65
173,174
174,141
175,173
176,175
177,133
178,170
179,75
180,186
181,148
182,84
183,99
184,155
185,196
169,172
186,94
187,151
188,70
189,82
190,189
191,160
192,201
193,96
194,157
195,156
196,138
197,113
121,200
198,97
199,185
200,223
201,200
202,119
203,118
204,143
205,204
206,114
207,107
