nodeID_from,nodeID_to
0,4
1,30
2,140
3,17
4,26
5,285
6,287
7,64
8,130
9,134
10,93
11,256
12,78
13,314
14,96
15,2
16,102
17,31
18,121
19,315
20,115
21,316
22,91
22,143
23,317
24,150
25,34
26,45
27,59
28,29
29,299
30,38
31,1
32,0
33,25
34,39
35,3
36,35
37,44
38,40
39,32
40,33
41,166
42,37
43,47
44,43
45,42
46,41
47,46
48,50
49,52
50,270
51,147
52,48
53,148
54,173
51,176
55,318
56,149
57,197
58,6
320,60
59,319
60,61
319,320
61,56
62,63
63,309
64,248
65,100
66,119
67,321
68,90
69,86
70,322
71,164
72,142
73,323
74,137
75,77
76,118
77,112
78,146
79,18
80,141
81,131
82,114
83,316
84,68
85,36
86,224
87,113
88,85
89,145
90,5
91,105
92,318
93,12
94,95
95,324
96,34
97,127
98,99
99,325
100,326
101,76
16,101
102,103
103,65
104,9
105,19
106,198
107,23
108,11
109,106
110,8
111,129
112,133
113,126
114,117
115,21
116,83
51,70
92,66
117,116
118,210
119,74
120,327
14,73
121,104
122,123
123,20
124,135
125,75
126,79
127,98
128,111
129,138
130,136
131,89
132,141
133,124
134,84
135,80
136,128
137,94
138,139
139,13
140,97
141,122
125,120
142,144
143,52
144,87
145,82
10,110
146,132
147,5
148,55
149,54
150,318
151,71
148,15
152,155
153,171
154,153
155,328
156,190
157,329
158,182
159,271
160,159
161,184
67,69
162,247
163,192
164,154
165,166
166,156
167,250
168,67
169,223
170,174
171,230
172,151
173,189
174,183
175,210
176,157
177,330
178,179
179,161
180,195
181,163
182,229
183,216
184,180
185,193
186,217
187,234
188,251
189,331
190,24
191,225
192,177
193,196
194,252
195,181
196,57
197,273
198,262
199,254
200,201
201,205
202,206
203,209
204,259
205,202
206,208
334,258
207,332
208,335
209,214
210,186
211,152
212,213
213,108
214,260
215,109
216,200
217,203
218,283
81,237
219,243
220,233
221,168
222,219
223,81
224,249
225,218
173,245
226,191
227,228
228,175
229,232
230,167
231,226
232,187
233,241
234,170
235,220
236,240
237,222
238,246
239,221
240,231
241,215
242,188
243,236
244,242
245,194
246,169
247,239
248,238
249,227
250,162
251,235
252,172
253,257
254,253
255,333
332,334
256,199
257,244
258,255
259,158
333,335
260,204
261,207
262,261
338,275
337,336
336,308
263,264
165,304
264,302
265,58
266,329
267,283
178,310
268,303
269,266
270,311
271,62
272,305
273,337
274,330
341,301
275,288
276,274
277,292
278,284
279,278
280,279
281,276
282,293
339,338
283,339
284,298
285,340
286,277
287,269
288,272
289,300
290,53
291,295
292,291
293,280
294,307
295,281
296,211
297,273
298,286
299,312
300,49
301,268
302,267
185,296
303,306
304,28
305,265
306,289
307,282
308,264
248,263
309,7
340,341
310,297
311,290
312,331
313,294
