nodeID_from,nodeID_to
0,76
1,116
2,117
3,103
4,113
5,118
6,119
7,120
8,121
9,56
10,122
11,123
12,27
13,124
14,125
15,126
16,65
17,127
18,128
19,129
20,130
21,131
22,85
23,108
24,101
24,47
25,97
26,13
27,94
28,45
29,42
30,67
31,22
32,102
33,41
34,107
33,59
35,33
36,79
37,96
38,111
39,66
40,106
41,40
42,83
43,99
44,92
45,145
46,28
47,94
48,30
49,132
50,51
51,46
52,95
53,75
54,26
55,83
56,68
57,35
58,133
59,41
60,104
61,57
62,134
63,84
46,58
58,89
64,135
25,91
65,102
66,87
67,62
68,81
69,136
70,86
71,73
72,66
73,74
74,55
75,74
54,55
146,53
60,137
75,138
76,115
45,39
62,49
77,61
78,84
79,18
80,23
81,112
82,60
83,54
113,37
84,105
115,88
79,10
85,32
145,14
86,17
68,96
70,139
87,100
88,72
89,93
90,53
91,140
92,15
93,100
94,25
95,31
96,70
64,89
97,71
71,64
98,59
99,34
99,50
100,141
114,77
101,142
102,98
103,52
104,22
105,60
106,109
107,106
40,107
35,43
57,43
73,90
77,98
74,24
108,133
86,109
109,123
50,111
110,123
111,80
81,38
112,23
96,143
144,36
113,144
114,145
115,146
