nodeID_from,nodeID_to
0,238
1,5
2,37
3,279
4,108
5,43
6,125
7,8
8,38
9,15
10,17
11,10
12,9
13,12
14,18
15,16
16,290
17,13
18,206
19,11
20,320
21,20
22,21
23,22
24,25
25,23
26,24
27,28
28,32
29,229
30,33
31,30
32,31
33,204
34,40
35,41
27,42
36,7
37,1
38,44
39,34
40,2
41,39
42,35
43,36
44,321
45,77
46,53
47,54
48,51
49,57
50,49
51,50
52,321
53,47
54,55
55,56
56,45
57,46
58,322
59,60
60,62
61,79
62,150
63,52
64,63
65,72
66,67
67,64
68,223
69,76
70,61
71,70
72,71
73,65
74,73
75,78
76,269
77,75
78,74
79,69
80,323
81,80
82,77
83,82
84,83
85,97
86,275
87,221
88,92
89,266
90,89
91,278
92,256
93,95
94,86
95,96
96,85
97,98
98,116
99,115
100,114
101,103
102,113
103,102
104,105
105,109
106,104
107,110
108,200
109,107
110,4
111,14
112,117
113,112
114,197
115,100
116,99
117,106
118,199
119,111
120,122
121,120
122,324
123,133
124,123
125,124
126,6
127,126
128,127
129,132
130,129
131,130
132,128
133,121
134,195
135,137
136,321
137,136
138,325
139,138
140,220
141,142
142,223
143,144
144,290
145,179
146,147
139,282
147,260
148,149
149,257
150,318
151,157
152,312
153,152
154,227
155,190
156,151
157,154
158,139
159,277
160,159
161,162
162,201
163,161
164,165
165,27
166,174
167,166
168,170
169,281
170,176
171,175
172,171
173,172
150,173
174,164
175,168
176,177
177,167
178,233
179,208
180,29
181,232
182,183
183,222
184,224
185,186
186,187
187,202
188,242
189,226
190,193
191,228
192,191
193,181
194,189
195,163
196,326
197,205
198,320
48,322
81,84
199,101
200,119
201,169
202,327
203,19
204,198
205,118
206,203
207,328
208,192
209,155
210,218
211,91
212,236
213,240
214,216
215,248
216,188
217,0
218,178
219,3
220,286
221,261
222,185
184,252
223,287
224,329
225,245
226,239
227,225
228,180
229,249
230,231
231,209
232,244
233,247
234,250
235,234
236,235
237,212
238,237
239,217
240,194
241,246
242,241
243,215
244,207
245,145
246,213
247,269
248,214
249,230
250,210
251,243
252,182
253,328
254,143
255,254
256,292
184,283
257,131
258,148
259,258
260,265
261,94
262,295
263,262
264,146
265,259
266,263
267,276
268,280
269,268
270,160
271,270
272,271
273,274
274,272
251,273
275,88
276,264
251,327
277,158
278,90
196,255
279,307
280,253
281,309
282,267
283,293
284,296
285,300
286,285
287,297
288,289
289,298
290,288
291,326
292,294
293,299
294,291
295,87
296,68
297,134
298,284
299,211
300,330
301,302
302,140
303,304
304,301
305,306
306,303
131,316
307,319
308,311
309,310
310,305
311,227
312,156
313,153
314,317
315,314
269,315
316,59
317,313
318,219
319,308
