nodeID_from,nodeID_to
0,334
1,335
2,14
3,47
4,23
5,51
6,336
7,336
8,285
1,105
9,233
414,11
10,9
11,10
418,8
12,50
13,158
14,12
13,337
15,337
16,49
17,232
18,17
19,334
20,176
20,338
21,246
22,156
21,43
23,22
4,46
24,0
25,339
25,340
26,27
27,1
28,35
29,34
30,28
31,33
32,31
20,32
33,30
34,341
35,29
36,45
37,39
38,336
39,38
40,36
41,42
42,40
43,342
44,52
45,37
46,48
47,44
48,19
49,8
50,16
51,343
52,344
24,345
53,22
54,346
127,347
55,175
375,376
56,179
57,280
58,84
59,348
60,369
61,349
62,132
346,350
366,319
108,373
351,352
63,351
359,352
362,61
107,353
64,82
65,223
66,354
67,3
68,92
69,99
70,348
71,136
72,353
73,121
59,86
74,62
75,71
63,88
76,446
77,81
78,355
79,355
80,128
81,117
140,139
77,131
3,212
410,84
55,356
83,331
84,214
85,97
85,330
86,96
87,103
88,125
89,78
90,109
350,272
91,357
92,73
93,122
363,358
94,102
79,359
95,113
96,72
97,360
98,361
99,75
100,94
101,260
365,362
372,363
102,364
103,365
347,366
370,248
104,367
207,406
105,368
106,147
107,369
108,370
374,109
110,197
111,371
112,141
113,56
114,135
115,349
116,80
117,101
68,119
99,372
98,59
118,361
119,123
120,118
121,124
122,360
123,93
124,120
125,126
100,69
71,87
126,358
127,373
146,374
128,354
129,134
130,129
131,130
132,133
133,66
134,116
135,112
136,87
137,340
138,137
139,138
371,375
140,376
141,70
385,377
343,378
142,379
143,191
461,248
307,464
144,171
455,380
145,449
146,381
142,382
147,383
148,384
377,193
149,385
387,151
57,281
150,193
151,166
400,386
152,387
153,388
245,183
389,149
154,155
155,152
156,267
157,226
440,184
158,214
159,304
160,159
161,56
162,163
163,269
164,162
165,266
166,389
167,168
168,229
377,230
58,158
169,390
170,391
415,236
171,279
172,292
160,392
396,393
173,394
273,395
238,396
398,397
393,398
174,250
175,356
176,299
177,399
64,400
178,312
442,335
322,60
422,448
179,328
114,182
180,174
181,300
310,420
153,271
182,401
54,142
183,402
184,403
67,296
185,441
186,180
146,379
386,425
187,6
188,172
189,264
190,211
106,316
191,104
192,384
321,399
115,148
194,404
67,212
83,277
195,405
196,302
197,241
198,199
199,296
200,356
178,201
201,211
202,198
203,205
204,250
76,309
205,295
206,427
207,202
208,406
209,407
163,305
411,408
210,222
211,65
378,170
212,404
213,409
214,18
408,410
215,220
216,144
410,58
412,411
217,221
218,217
219,210
220,218
221,219
222,412
417,413
173,413
223,208
224,274
225,227
226,225
227,306
228,276
390,414
391,415
229,256
230,167
231,268
232,270
233,416
234,215
235,237
236,210
237,234
445,417
395,443
397,444
238,418
239,204
240,288
241,206
115,419
298,420
242,421
242,422
462,423
89,424
429,425
243,54
244,243
110,172
245,426
452,427
403,428
246,429
247,188
246,430
248,431
249,432
165,433
250,434
251,257
252,213
253,300
291,89
145,438
254,381
467,53
255,435
256,281
257,330
258,252
62,436
459,437
259,263
254,153
259,320
260,203
143,319
261,405
262,287
263,311
264,432
265,259
192,265
177,148
266,111
267,161
268,150
269,293
270,282
271,423
272,430
290,438
273,439
274,435
275,368
276,324
277,327
278,326
185,283
279,235
280,414
281,280
332,440
282,231
154,5
283,284
284,216
392,441
454,442
286,443
439,444
285,159
333,445
286,468
287,434
288,186
289,240
74,419
290,253
466,447
451,446
421,447
450,448
291,449
292,243
272,244
7,247
293,187
190,315
294,189
295,249
296,433
95,56
297,95
297,157
298,450
463,453
299,289
300,323
181,436
460,301
301,364
302,402
308,451
426,452
303,302
401,453
304,416
305,304
306,224
465,454
456,455
251,456
458,457
94,303
307,458
457,459
437,460
60,431
308,461
309,196
424,462
310,463
428,187
311,294
312,318
313,357
314,262
315,314
106,317
316,261
147,317
317,329
318,195
314,200
319,91
320,367
239,313
321,464
394,465
322,466
323,258
324,325
325,227
326,275
327,278
328,114
179,161
380,467
329,260
164,255
330,338
331,228
332,169
333,468
